StatsType,Project,CPID,TC,RAT,RAC,AvgRAC,Mag
byCPID,,1165f57d64a5c0559d7073c4fd3cf974,13394702.425619,11403233897.815498,8.056804,1.150972,0.000000,
byCPID,,11686e421cbdb104480919ebe7bb285e,2775812.001255,7851667213.622357,290.448435,58.089687,0.250000,
byCPID,,11e1f64ea1ab2d83564092ba49716ecd,1865539.777082,1638029531.158304,2689.468584,2689.468584,0.350000,
byCPID,,1224cd28fd68c86d2fd69656e466099a,3599480.905552,4914005513.830651,6699.976924,2233.325641,1.600000,
byCPID,,127c75f1c08d06a054465f4cdebe581e,423126343.039959,10873865134.155396,7970.434104,1138.633443,1.040000,
byCPID,,12a4610731bc1f2c439bc6404d7e6e81,418344.118623,3249893657.361973,219.481839,109.740920,0.400000,
byCPID,,12b927432fcbcc08dcd652ef544b74fb,565370.805307,4824249318.920218,1356.195643,452.065214,0.210000,
byCPID,,1303b8f1ec9a406508acf860f3ad9c9f,1380964414.902964,16335701003.564922,1723135.680775,172313.568078,371.560000,
byCPID,,131a0a4042a085d83d46d9b0834ac004,1205553840.173804,6552192189.618044,1325900.078520,331475.019630,23.570000,
byCPID,,13509cf04f3fedceceab14ad52bf5202,14577473.937291,3224589388.339642,1700.239646,850.119823,0.220000,
byCPID,,1360d82e6071c551a75b76237a86dd45,64797.965367,4914136634.308133,1534.473879,511.491293,0.730000,
byCPID,,13a1ec48bca572aadbc0e34a3bfa8ee4,98370628.729866,9828001800.064882,96417.197616,16069.532936,64.030000,
byCPID,,13f73ac7debcb54e5f846548bc5c3197,6844009.085084,13104277507.500772,13633.664223,1704.208028,36.570000,
byCPID,,13ff8b4b4ec4e1a0a25911025ac08348,51031182.514356,13103890298.815357,22287.387108,2785.923389,4.220000,
byCPID,,14019b7625f271e03ea0e9d37b0721f7,318665654.345629,6235784617.453636,16576.114122,4144.028530,63.730000,
byCPID,,1437f048de61fd48e5fe4fc7696451b8,100267860.260197,12817478289.775713,28066.165160,3508.270645,34.940000,
byCPID,,148c1039bc2c2042a3de874e03ef7218,70292936.210841,11459542061.372297,84865.818593,12123.688370,16.940000,
byCPID,,14badd323144285eb6e93e8cf4be6269,127310191.995657,6552042586.936798,25374.449772,6343.612443,4.130000,
byCPID,,14c2130aabb4176a0d3351cd136bbaa4,28969397444.358181,19641894300.380802,4071733.615460,339311.134622,5816.880000,
byCPID,,14d14af285d964807273d32fa10073f1,112740869.462914,9727238332.677885,61257.363093,10209.560515,7.870000,
byCPID,,14fe527d49f2f1c8eb9552b054c4ead6,42109263.229630,9434221457.234266,1067.469464,177.911577,0.140000,
byCPID,,1525420f37f3471a4ed0eda79f5be2b6,19929891.582323,6515990110.199647,1.503667,0.375917,0.000000,
byCPID,,1599ab3a737f7905a2e2c1518a8fc788,54136658.252729,11463678741.354326,89179.109835,12739.872834,84.430000,
byCPID,,15d376fcc9931dd463f4e2dbfb8f6b76,45432256.591819,11362577287.193350,139238.410286,19891.201469,26.750000,
byCPID,,15fabd8d529db1f16315736b890ce38c,8769927.816822,17870918608.407902,5958.975960,541.725087,13.120000,
byCPID,,1632f99977d90c5a223b5b0667e3c50c,1263878.502642,17676669418.496422,2777.770543,252.524595,0.790000,
byCPID,,16343a0f41ad37bb35a80e81bc97ef8c,112856654.059129,19565343923.577747,19654.265369,1637.855447,2.730000,
byCPID,,1638152dadcac51f8bb71da66dfe092d,90523235.612192,17422241836.665558,22958.588173,2087.144379,8.580000,
byCPID,,163f049997e8a2dee054d69a7720bf05,158688884877.388733,22896175702.814823,157876823.247865,11276915.946276,7718.600000,
byCPID,,168c62b82fb40fa3db0d34605439daa5,25514907.614988,3217865199.523507,8057.246270,4028.623135,1.050000,
byCPID,,16bd394ac5d2db7747e6f6885ee0c4d1,31985455.891810,13101266597.486183,2756.151042,344.518880,3.200000,
byCPID,,16d58e95a8fcbf928f53c2029e133ba9,28947889.941287,9826749616.883261,1328.294181,221.382363,0.640000,
byCPID,,17029c4576fc8e66b21dfec118099199,2732068746.277508,22208675522.076126,473503.436746,33821.674053,1036.690000,
byCPID,,175bfe3d46fda5711916ad0f38215259,51488174.960508,9446922508.508152,2478.780104,413.130017,5.470000,
byCPID,,1771c7a781a37a888f36e4ae25fda4a9,31682004094.230530,9652787301.603754,5447.729044,907.954841,2.680000,
byCPID,,17aa020a4ba5a2875ae61bd6db3522fe,352425.264288,1638052803.024875,13.438347,13.438347,0.000000,
byCPID,,17d8e3694dd8fa4c65205fdbddfaaff7,1211751.799472,4913969437.608308,9644.821362,3214.940454,3.360000,
byCPID,,17da68599079d16bdd91ef59b403df42,124035896.723247,1638000183.644476,142950.027495,142950.027495,27.150000,
byCPID,,18edc8e64affa2db466f81322c1386fe,36503.341365,1638054903.265551,2011.608798,2011.608798,8.030000,
byCPID,,1963a6f109ea770c195a0e1afacd2eba,291300799.123132,18346036053.659966,1179961.972451,98330.164371,497.730000,
byCPID,,19a79c7f0a8a1baacef8ca37c49def33,13588124.112316,8190076105.679847,72884.705734,14576.941147,54.790000,
byCPID,,19c33cdfe8a965f8f09fc58410f7eb2d,1532293.501709,4482702125.907649,1315.293179,438.431060,0.170000,
byCPID,,19eb3ac940b95a7c3c8b0e8e4892ddcf,215564696.153508,6535996465.711144,1068.624835,267.156209,0.140000,
byCPID,,1a5850d306575a1858189efe3d805dcb,966949608.280460,26208509555.977688,758320.051304,47395.003206,312.040000,
byCPID,,1a6c1570b15ee5beec69f241c36ffd1e,4195490.280935,6496325791.202805,774.985898,193.746475,1.710000,
byCPID,,1a8309fae79be20b42354b049e392fb3,12849635.078295,6410035049.056183,7191.271033,1797.817758,1.110000,
byCPID,,1aaee6a1793f54f72aa0292f9429bad9,9495226.708741,1638057287.516397,4061.813540,4061.813540,0.530000,
byCPID,,1ac793c529cd6ffa942afaef7c5068c2,337090377.680900,17205884085.261501,22230.166370,2020.924215,86.230000,
byCPID,,1ae18cfa24f0f9f8401c9fafae9075d8,19957000.046878,8182391805.954154,2019.521832,403.904366,0.980000,
byCPID,,1b15befe93b7e60f216e030484488203,289581423.793107,7762589414.677658,0.482159,0.096432,0.000000,
byCPID,,1b2d955e6e7eb64243c4890f41c4c3a8,8272391.767786,8185739235.222885,13613.318972,2722.663794,11.580000,
byCPID,,1b401b18b75b6f3cff54da984c696eb6,66931889.174906,8089408812.306153,528.828919,105.765784,0.960000,
byCPID,,1bb993deb5284d5f357c6ef05d8eddb2,1042044683.698371,26207890276.839275,326816.035398,20426.002212,95.040000,
byCPID,,1cb4510f91ed5b8f582c37a308f44489,304813.211457,3276037261.784845,249.356531,124.678266,0.220000,
byCPID,,1d0732882664b7a8eae2bb9741ab3121,1018231559.871328,21238021004.312424,1645850.202371,126603.861721,125.330000,
byCPID,,1d27758d0e56c5e47695b30fbcbc6d3a,270977435.454801,13059924542.620655,1228007.437306,153500.929663,45.990000,
byCPID,,1d3fc38caddc84a5e046b8399ebdcf00,366425801.752175,9816509719.397152,3392.856743,565.476124,0.440000,
byCPID,,1d6edd6a256cfa93cacd0a881ddc685c,176621262.111019,6545108357.544871,383.291424,95.822856,0.050000,
byCPID,,1dbc20084e1137e65dedd9c18d3d6fb2,278326002.885240,6551711174.378993,66144.139658,16536.034915,2.610000,
byCPID,,1dcebc202817a01ac4806ad9ccb488c8,1463819.049006,4914021467.816746,3052.341742,1017.447247,1.030000,
byCPID,,1dd1cd9280f4f21e0f572d76b6b7c2c1,1781708684.633115,3274022092.272766,3365505.888871,1682752.944436,55.360000,
byCPID,,1de1053f09015bad3db1d6a8c2be32e7,33206865.854736,6411198179.144361,23863.057402,5965.764351,10.590000,
byCPID,,1e240363cbe48e99394365022b18a429,22960536.041812,11350429221.730646,6688.256202,955.465172,1.370000,
byCPID,,1eb9f73c78d63f11136821c2c511e140,46723810.944919,6552113679.689137,84767.796256,21191.949064,9.490000,
byCPID,,1f409e6b69a8290c8419ab06f5bb8727,2760858785.622853,24152272274.384048,6624884.760072,441658.984005,1081.850000,
byCPID,,1f46c1aee0261e172fcaa2179fbc78f6,1597612.853517,4892964008.852393,0.280844,0.093615,0.000000,
byCPID,,1f81c925258a48abe4fae04920e6cc66,1157857792.689675,12605826592.066093,1220554.937151,152569.367144,34.750000,
byCPID,,1fef4f3310b85515924ff0d37b8ff981,1981187.546749,11327639340.608343,5446.707263,778.101038,1.870000,
byCPID,,2041e87b31103bf69e785cb737df49ab,18606320.703063,22854768767.345917,69715.919954,4979.708568,33.500000,
byCPID,,2082de95f77c4a69fc878de0bb3b2af5,58714942.543982,18576342369.743874,24943.090363,2078.590864,10.430000,
byCPID,,209cf08ce2d60e836894ef4fb991ddc9,272956640.330008,14042086157.927671,88.967081,9.885231,0.310000,
byCPID,,20e80eb2855ff4a5b9f9f73f5d36c7e2,86679444.651073,6545165410.311964,12.448288,3.112072,0.000000,
byCPID,,20f61ef88e062ed3b0d4db302b05d430,13918530.484963,4914163754.269176,71056.327281,23685.442427,2.090000,
byCPID,,21099d58d550518bbaca6ad398fd36d4,2694421.042432,4914104977.005636,8120.928391,2706.976130,1.940000,
byCPID,,21101ba0c2397c2f42c2db510575c5aa,42177855.802906,17858586619.405430,3906.810236,355.164567,0.830000,
byCPID,,213692e90aaca3de6d2cab1c275a91b3,15576176.540550,6552113714.492458,2414.061808,603.515452,0.390000,
byCPID,,218360054f3f61db8c1ab816fb0c050f,235740.425013,4914065889.068642,2098.989561,699.663187,6.650000,
byCPID,,21994f51f19f8d75f39c529e200e82aa,86556036.563676,9741124164.319218,0.504964,0.084161,0.000000,
byCPID,,21dae1a90a20a2d2313260670512a88f,10995708.670319,4914058629.638157,35242.609950,11747.536650,138.710000,
byCPID,,21ee63e77e5c4f731daead05524382dc,94693391.169046,6301984468.742438,30208.508550,7552.127138,3.920000,
byCPID,,2216dd529a9215f237f8d5a59a975af4,112315574.516339,4913974409.396907,262342.372918,87447.457639,43.690000,
byCPID,,22e780633b72fbc4a484769edbacf5ea,161837984.763462,16379954146.106472,117563.969114,11756.396911,36.400000,
byCPID,,23367d83f2061f0e112a413d3e38c23d,3762212.843624,6422004840.756584,1840.819345,460.204836,3.740000,
byCPID,,23f4d1d548f535b543a62707df14f11f,12149532.552381,16091295997.287029,1834.501852,183.450185,2.780000,
byCPID,,2419fb27eba52ae5972930cf1125e276,11083182.312474,1469221503.002519,0.098205,0.098205,0.000000,
byCPID,,241c68fbf201a285efa7fdebbda038a9,37211647.025435,15867653153.687649,0.931960,0.093196,0.000000,
byCPID,,24e473df8c25c3f8cb8cd1a8a0e195b5,1865394680.870856,3276088745.918034,7726531.873838,3863265.936919,135.030000,
byCPID,,25247e504736d41b333535ad14deb150,251793832.744819,17650587707.253754,17737.728882,1612.520807,30.160000,
byCPID,,25d003249f8a48a462584bc4bf550e26,211836103.490855,25941304110.992512,151768.524667,9485.532792,42.010000,
byCPID,,25ec44b1784ed33aacd252b285562a0e,28886870.322767,4369027295.945477,13120.154484,4373.384828,1.700000,
byCPID,,266f616e263e1824010d3739867a3f02,17580583.036871,3275912054.992567,1804.368730,902.184365,3.290000,
byCPID,,2680890b90dbee2087ecccd16bb168f1,7624078.026041,3231506338.073084,4827.230080,2413.615040,0.630000,
byCPID,,26ac9f1df7a612a9736f99be3adf4cd0,982245.560087,8179537677.076913,6206.942296,1241.388459,4.200000,
byCPID,,26fe212eaf98b5e410a401a2edb1f371,168866373.661143,9767190936.667969,110059.419201,18343.236534,37.130000,
byCPID,,271870e186c59eeb85f29c65888d4b54,115222158.204216,8190031216.608528,72862.442300,14572.488460,37.910000,
byCPID,,27240e68a3e56448711218e924c4a520,11778501.551291,12993810021.784927,2.714307,0.339288,0.000000,
byCPID,,272a875001aa58df2c0902f49d5a3035,3601595.646569,3273590953.562301,7826.224752,3913.112376,31.240000,
byCPID,,27702958fec39e2a060ca7a2a55b3a83,450202.105141,3275227164.818490,140.899387,70.449694,0.020000,
byCPID,,27841bacbf2ccdb70eeb13005ad18510,3407527154.867279,9828131033.257120,1499801.151591,249966.858598,52.160000,
byCPID,,278e9c636322a8db93a272cfcd43118f,684711.631238,3275935072.557603,865.200244,432.600122,0.190000,
byCPID,,27b5d9565a0b5584840619f70c2b1d2f,70524641.654580,17905866950.068756,113002.086010,10272.916910,38.190000,
byCPID,,27cfe9221c921353d7ae582c819f2cb0,7513929.586376,4914097716.217463,2330.298158,776.766053,2.270000,
byCPID,,27daeb9df5d41534a2f9fc18ed705636,75015.915360,4914065280.532703,140.949697,46.983232,0.020000,
byCPID,,284ce4078abc2fad5870b9b59fd75988,403977765.202342,13047182859.653011,1119816.318999,139977.039875,173.720000,
